university;subject;overall_study_situation;total_number_of_students;population_of_the_town;proportion_of_students_in_the_town;student_accommodation_rent;students_at_this_campus
BTU Cottbus-Senftenberg/Cottbus;Architecture;2.2;780;100,416;6.2;158 - 385;6,212
TU Darmstadt;Architecture;3.1;1,350;157,437;29.3;190 - 547;25,840
TU Dortmund;Architecture;;960;585,813;9.3;181 - 250;33,952
TU Dresden;Architecture;3.4;740;547,172;7.2;107 - 370;29,728
HCU Hamburg;Architecture;3.2;630;1,810,438;6;233 - 415;2,325
Uni Hannover;Architecture;2.1;790;532,864;9.3;154 - 395;28,613
TU Kaiserslautern;Architecture;2.2;550;99,302;17.5;140 - 395;14,668
Karlsruher Inst. f. Technologie KIT;Architecture;2.1;840;309,999;13.4;157 - 362;24,814
Uni Kassel;Architecture;;870;199,062;15.3;173 - 420;24,140
TU München;Architecture;1.8;1,490;1,464,301;7.5;181 - 458;19,082
Uni Siegen;Architecture;;630;101,863;19.8;188 - 435;19,457
ABK Stuttgart;Architecture;1.7;150;628,032;10;235 - 600;881
Uni Stuttgart;Architecture;1.9;1,240;628,032;10;235 - 600;26,207
Uni Weimar;Architecture;1.9;680;64,355;7.1;103 - 348;3,743
Uni Wuppertal;Architecture;2.1;460;352,390;6.5;190 - 326;21,933
RWTH Aachen;Industrial Engineering;2;570;244,951;23.5;187 - 577;45,404
Uni Augsburg;Industrial Engineering;1.8;700;289,584;9.2;190 - 362;20,035
Uni Bayreuth;Industrial Engineering;1.5;430;73,065;17.8;128 - 332;12,964
Steinbeis HS Berlin (priv.);Industrial Engineering;;130;3,574,830;5.3;125 - 380;7,619
TU Berlin;Industrial Engineering;2.3;2,810;3,574,830;5.3;125 - 380;34,718
TU Braunschweig;Industrial Engineering;2;450;248,667;8.5;156 - 620;20,116
Jacobs Univ. Bremen (priv.);Industrial Engineering;1.9;80;565,719;6.2;198 - 288;1,325
Uni Bremen;Industrial Engineering;;750;565,719;6.2;198 - 288;19,224
TU Chemnitz;Industrial Engineering;;360;246,353;4.3;157 - 260;10,482
TU Clausthal;Industrial Engineering;1.7;820;15,523;28.5;156 - 620;4,423
BTU Cottbus-Senftenberg/Cottbus;Industrial Engineering;1.8;480;100,416;6.2;158 - 385;6,212
TU Darmstadt;Industrial Engineering;2.2;2,440;157,437;29.3;190 - 547;25,840
TU Dortmund;Industrial Engineering;;2,740;585,813;9.3;181 - 250;33,952
TU Dresden;Industrial Engineering;1.6;690;547,172;7.2;107 - 370;29,728
Uni Duisburg-Essen/Duisb.;Industrial Engineering;1.5;1,690;499,845;;238 - 450;42,910
Uni Erl.-Nürnb./Erlangen;Industrial Engineering;;1,820;110,238;26.3;151 -319;29,025
Europa-Uni Flensburg;Industrial Engineering;;;87,432;11;150 - 521;5,697
TU Bergakademie Freiberg;Industrial Engineering;;260;41,642;9.9;170 - 380;4,113
TU Hamburg;Industrial Engineering;;750;1,810,438;6;233 - 415;7,774
Uni Hamburg;Industrial Engineering;;760;1,810,438;6;233 - 415;42,853
Uni BW Hamburg;Industrial Engineering;;120;1,810,438;6;233 - 415;2,667
Uni Hannover;Industrial Engineering;2.1;880;532,864;9.3;154 - 395;28,613
TU Ilmenau;Industrial Engineering;1.7;670;36,666;15.8;103 - 348;5,807
TU Kaiserslautern;Industrial Engineering;2.1;1,310;99,302;17.5;140 - 395;14,668
Karlsruher Inst. f. Technologie KIT;Industrial Engineering;1.5;3,120;309,999;13.4;157 - 362;24,814
Uni Kassel;Industrial Engineering;2.3;920;199,062;15.3;173 - 420;24,140
Uni Kiel;Industrial Engineering;;430;247,441;14.1;150 - 521;26,528
Uni Lüneburg;Industrial Engineering;;10;74,494;13.1;156 - 620;9,900
Uni Magdeburg;Industrial Engineering;;90;238,136;7.5;154 - 299;13,840
Uni Paderborn;Industrial Engineering;;1,250;148,677;14.8;215 - 600;20,265
Uni Rostock;Industrial Engineering;;250;207,513;7.2;190 - 440;13,815
Uni Siegen;Industrial Engineering;;830;101,863;19.8;188 - 435;19,457
Uni Weimar;Industrial Engineering;;670;64,355;7.1;103 - 348;3,743
Uni Wuppertal;Industrial Engineering;2.5;460;352,390;6.5;190 - 326;21,933
Uni Bayreuth;Mechatronics;;60;73,065;17.8;128 - 332;12,964
TU Braunschweig;Mechatronics;;180;248,667;8.5;156 - 620;20,116
Uni Bremen;Mechatronics;;270;565,719;6.2;198 - 288;19,224
TU Chemnitz;Mechatronics;;120;246,353;4.3;157 - 260;10,482
TU Darmstadt;Mechatronics;1.9;520;157,437;29.3;190 - 547;25,840
TU Dresden;Mechatronics;1.9;370;547,172;7.2;107 - 370;29,728
Uni Erl.-Nürnb./Erlangen;Mechatronics;;690;110,238;26.3;151 -319;29,025
TU Hamburg;Mechatronics;;450;1,810,438;6;233 - 415;7,774
Uni BW Hamburg;Mechatronics;;20;1,810,438;6;233 - 415;2,667
Uni Hannover;Mechatronics;;300;532,864;9.3;154 - 395;28,613
TU Ilmenau;Mechatronics;;230;36,666;15.8;103 - 348;5,807
Karlsruher Inst. f. Technologie KIT;Mechatronics;1.8;840;309,999;13.4;157 - 362;24,814
Uni Kassel;Mechatronics;;240;199,062;15.3;173 - 420;24,140
Uni Magdeburg;Mechatronics;;90;238,136;7.5;154 - 299;13,840
TU München/Garching;Mechatronics;;120;17,099;94;181 - 458;16,079
Uni Rostock;Mechatronics;;90;207,513;7.2;190 - 440;13,815
Uni des Saarlandes/Saarbrücken;Mechatronics;;230;179,709;17.5;206 - 301;16,441
Uni Siegen;Mechatronics;;190;101,863;19.8;188 - 435;19,457
Uni Stuttgart;Mechatronics;;370;628,032;10;235 - 600;26,207
FU Berlin;Pharmacy;;720;3,574,830;5.3;125 - 380;36,771
Uni Bonn;Pharmacy;2.8;1,400;322,125;12.4;172 - 633;37,515
TU Braunschweig;Pharmacy;1.7;760;248,667;8.5;156 - 620;20,116
Uni Düsseldorf;Pharmacy;2.6;930;613,230;9.3;206 - 381;35,343
Uni Erl.-Nürnb./Erlangen;Pharmacy;2.3;640;110,238;26.3;151 -319;29,025
Uni Frankfurt a.M.;Pharmacy;2.2;820;736,414;9.8;203 - 431;47,134
Uni Freiburg;Pharmacy;2.4;690;227,590;14.4;196 - 412;24,488
Uni Greifswald;Pharmacy;1.7;510;57,985;17.7;164 - 540;10,246
Uni Halle-Wittenberg;Pharmacy;;950;238,005;8.9;184 - 294;20,158
Uni Hamburg;Pharmacy;;330;1,810,438;6;233 - 415;42,853
Uni Heidelberg;Pharmacy;2;740;159,914;22;165 - 363;26,980
Uni Jena;Pharmacy;2.7;330;110,321;19.8;103 - 348;17,335
Uni Kiel;Pharmacy;2.1;550;247,441;14.1;150 - 521;26,528
Uni Leipzig;Pharmacy;;210;571,088;6.8;138 - 425;28,797
Uni Mainz;Pharmacy;2.9;590;213,528;18.2;258 - 412;30,315
Uni Marburg;Pharmacy;2.4;1,290;74,675;34.5;151 - 320;25,541
LMU München;Pharmacy;;960;1,464,301;7.5;181 - 458;50,527
Uni Münster;Pharmacy;2.2;880;311,846;19.3;174 - 606;44,755
Uni Regensburg;Pharmacy;3.2;610;148,638;21.7;164 - 461;20,792
Uni des Saarlandes/Saarbrücken;Pharmacy;2.4;360;179,709;17.5;206 - 301;16,441
Uni Tübingen;Pharmacy;2.6;850;88,347;30.9;167 - 393;27,318
Uni Würzburg;Pharmacy;2.3;440;126,010;27.6;196 - 360;27,987
RWTH Aachen;Chemistry;2.1;1,400;244,951;23.5;187 - 577;45,404
Uni Bayreuth;Chemistry;2.1;830;73,065;17.8;128 - 332;12,964
FU Berlin;Chemistry;2.3;820;3,574,830;5.3;125 - 380;36,771
HU Berlin;Chemistry;;980;3,574,830;5.3;125 - 380;34,963
TU Berlin;Chemistry;;970;3,574,830;5.3;125 - 380;34,718
Uni Bielefeld;Chemistry;;850;333,451;11.4;172 - 355;25,074
Uni Bochum;Chemistry;2;940;364,920;15.9;200 - 500;43,059
Uni Bonn;Chemistry;2.3;1,070;322,125;12.4;172 - 633;37,515
TU Braunschweig;Chemistry;2.4;490;248,667;8.5;156 - 620;20,116
Jacobs Univ. Bremen (priv.);Chemistry;;70;565,719;6.2;198 - 288;1,325
Uni Bremen;Chemistry;;270;565,719;6.2;198 - 288;19,224
TU Chemnitz;Chemistry;;280;246,353;4.3;157 - 260;10,482
TU Clausthal;Chemistry;2;230;15,523;28.5;156 - 620;4,423
TU Darmstadt;Chemistry;2;760;157,437;29.3;190 - 547;25,840
TU Dortmund;Chemistry;2.5;1,060;585,813;9.3;181 - 250;33,952
TU Dresden;Chemistry;1.8;900;547,172;7.2;107 - 370;29,728
Uni Düsseldorf;Chemistry;2.2;1,420;613,230;9.3;206 - 381;35,343
Uni Duisburg-Essen/Essen;Chemistry;2.1;1,250;583,084;;238 - 450;42,910
Uni Erl.-Nürnb./Erlangen;Chemistry;2.5;810;110,238;26.3;151 -319;29,025
Europa-Uni Flensburg;Chemistry;;0;87,432;11;150 - 521;5,697
Uni Frankfurt a.M.;Chemistry;2.1;1,090;736,414;9.8;203 - 431;47,134
TU Bergakademie Freiberg;Chemistry;;240;41,642;9.9;170 - 380;4,113
Uni Freiburg;Chemistry;2.3;700;227,590;14.4;196 - 412;24,488
Uni Gießen;Chemistry;1.6;370;86,543;46.3;165 - 444;28,575
Uni Göttingen;Chemistry;1.9;810;119,177;29.9;123 - 353;30,872
Uni Halle-Wittenberg;Chemistry;2.1;390;238,005;8.9;184 - 294;20,158
Uni Hamburg;Chemistry;;1,130;1,810,438;6;233 - 415;42,853
Uni Hannover;Chemistry;2.4;1,180;532,864;9.3;154 - 395;28,613
Uni Heidelberg;Chemistry;2.5;700;159,914;22;165 - 363;26,980
Uni Hildesheim;Chemistry;;70;101,687;11.3;156 - 620;8,056
TU Ilmenau;Chemistry;;80;36,666;15.8;103 - 348;5,807
Uni Jena;Chemistry;2.3;340;110,321;19.8;103 - 348;17,335
TU Kaiserslautern;Chemistry;2.3;480;99,302;17.5;140 - 395;14,668
Karlsruher Inst. f. Technologie KIT;Chemistry;2.1;730;309,999;13.4;157 - 362;24,814
Uni Kiel;Chemistry;;660;247,441;14.1;150 - 521;26,528
Uni Kobl.-Land./Landau;Chemistry;;80;46,006;18.2;155 - 300;8,367
Uni Köln;Chemistry;;1,270;1,075,935;9.5;139 - 368;53,175
Uni Konstanz;Chemistry;1.9;720;83,789;19.3;228 - 420;11,078
Uni Leipzig;Chemistry;;820;571,088;6.8;138 - 425;28,797
Uni Lüneburg;Chemistry;;30;74,494;13.1;156 - 620;9,900
Uni Mainz;Chemistry;3.5;1,470;213,528;18.2;258 - 412;30,315
Uni Marburg;Chemistry;;850;74,675;34.5;151 - 320;25,541
LMU München;Chemistry;1.9;920;1,464,301;7.5;181 - 458;50,527
TU München/Garching;Chemistry;2.2;2,030;17,099;94;181 - 458;16,079
Uni Münster;Chemistry;2.4;1,400;311,846;19.3;174 - 606;44,755
Uni Oldenburg;Chemistry;;560;165,711;10.5;126 - 389;15,218
Uni Osnabrück;Chemistry;;150;164,070;15.6;154 - 401;14,067
Uni Paderborn;Chemistry;1.8;460;148,677;14.8;215 - 600;20,265
Uni Potsdam;Chemistry;1.8;410;171,810;14.3;160 - 450;20,616
Uni Regensburg;Chemistry;;560;148,638;21.7;164 - 461;20,792
Uni Rostock;Chemistry;1.8;460;207,513;7.2;190 - 440;13,815
Uni des Saarlandes/Saarbrücken;Chemistry;2.1;270;179,709;17.5;206 - 301;16,441
Uni Siegen;Chemistry;;310;101,863;19.8;188 - 435;19,457
Uni Stuttgart;Chemistry;;600;628,032;10;235 - 600;26,207
Uni Tübingen;Chemistry;2.1;620;88,347;30.9;167 - 393;27,318
Uni Ulm;Chemistry;;640;123,953;11.8;215 - 405;10,461
Uni Würzburg;Chemistry;2.2;1,320;126,010;27.6;196 - 360;27,987
Uni Wuppertal;Chemistry;1.8;810;352,390;6.5;190 - 326;21,933
RWTH Aachen;Business Administration;1.7;1,970;244,951;23.5;187 - 577;45,404
Alanus HS/Alfter (priv.);Business Administration;1.5;170;23,531;6.8;;1,589
Uni Augsburg;Business Administration;1.8;3,370;289,584;9.2;190 - 362;20,035
Uni Bamberg;Business Administration;1.8;2,570;75,743;17.1;196 - 360;12,663
Uni Bayreuth;Business Administration;1.6;3,050;73,065;17.8;128 - 332;12,964
ESCP Europe Berlin (priv.);Business Administration;;710;3,574,830;5.3;125 - 380;550
ESMT Berlin;Business Administration;;280;3,574,830;5.3;125 - 380;332
FU Berlin;Business Administration;;1,340;3,574,830;5.3;125 - 380;36,771
HU Berlin;Business Administration;;1,010;3,574,830;5.3;125 - 380;34,963
Steinbeis HS Berlin (priv.);Business Administration;;5,140;3,574,830;5.3;125 - 380;7,619
TU Berlin;Business Administration;2.8;340;3,574,830;5.3;125 - 380;34,718
Uni Bremen;Business Administration;2;2,010;565,719;6.2;198 - 288;19,224
TU Clausthal;Business Administration;2.5;920;15,523;28.5;156 - 620;4,423
BTU Cottbus-Senftenberg/Cottbus;Business Administration;;830;100,416;6.2;158 - 385;6,212
Uni Düsseldorf;Business Administration;1.7;1,130;613,230;9.3;206 - 381;35,343
Uni Duisburg-Essen/Duisb.;Business Administration;2;3,080;499,845;;238 - 450;42,910
Uni Duisburg-Essen/Essen;Business Administration;2.3;2,470;583,084;;238 - 450;42,910
EBS Universität/Oestrich-Winkel (priv.);Business Administration;1.4;1,770;11,738;14.2;;1,663
Katholische Universität - WFI/Ingolstadt;Business Administration;1.5;1,030;133,639;4.8;151 -319;979
Europa-Uni Flensburg;Business Administration;2.7;850;87,432;11;150 - 521;5,697
Frankfurt School (priv.);Business Administration;1.5;1,930;736,414;9.8;203 - 431;2,326
Europa-Uni Frankfurt O.;Business Administration;1.5;1,870;58,193;11.4;158 - 385;6,610
TU Bergakademie Freiberg;Business Administration;;730;41,642;9.9;170 - 380;4,113
Uni Freiburg;Business Administration;;310;227,590;14.4;196 - 412;24,488
Uni Göttingen;Business Administration;1.4;2,610;119,177;29.9;123 - 353;30,872
Uni Greifswald;Business Administration;1.7;940;57,985;17.7;164 - 540;10,246
Uni Halle-Wittenberg;Business Administration;2.2;2,270;238,005;8.9;184 - 294;20,158
KLU Hamburg (priv.);Business Administration;1.5;270;1,810,438;6;233 - 415;252
TU Hamburg;Business Administration;;70;1,810,438;6;233 - 415;7,774
Uni Hamburg;Business Administration;;2,140;1,810,438;6;233 - 415;42,853
Uni BW Hamburg;Business Administration;;500;1,810,438;6;233 - 415;2,667
TU Ilmenau;Business Administration;;540;36,666;15.8;103 - 348;5,807
TU Kaiserslautern;Business Administration;2.5;690;99,302;17.5;140 - 395;14,668
Uni Kiel;Business Administration;2.3;1,230;247,441;14.1;150 - 521;26,528
Uni Köln;Business Administration;;3,610;1,075,935;9.5;139 - 368;53,175
HHL Leipzig (priv.);Business Administration;;670;571,088;6.8;138 - 425;669
Uni Lüneburg;Business Administration;;1,410;74,494;13.1;156 - 620;9,900
Uni Magdeburg;Business Administration;2.1;2,170;238,136;7.5;154 - 299;13,840
Uni Mannheim;Business Administration;1.5;2,420;304,781;9.3;190 - 410;12,012
Uni Marburg;Business Administration;2;1,470;74,675;34.5;151 - 320;25,541
LMU München;Business Administration;1.8;2,400;1,464,301;7.5;181 - 458;50,527
TU München;Business Administration;1.5;4,700;1,464,301;7.5;181 - 458;19,082
Uni Münster;Business Administration;2.2;3,090;311,846;19.3;174 - 606;44,755
Uni Passau;Business Administration;1.7;1,510;51,074;24.9;164 - 461;12,742
Uni Potsdam;Business Administration;;1,170;171,810;14.3;160 - 450;20,616
Uni Regensburg;Business Administration;;1,590;148,638;21.7;164 - 461;20,792
Uni des Saarlandes/Saarbrücken;Business Administration;2.6;2,150;179,709;17.5;206 - 301;16,441
Uni Siegen;Business Administration;2.3;3,340;101,863;19.8;188 - 435;19,457
Uni Stuttgart;Business Administration;1.5;1,010;628,032;10;235 - 600;26,207
Uni Trier;Business Administration;;1,360;110,111;16.5;175 - 310;12,714
WHU Vallendar (priv.);Business Administration;1.2;1,180;8,443;18.8;;1,191
Uni Witten/Herdecke (priv.);Business Administration;;230;96,781;2.5;;2,427
Uni Bielefeld;Economic Sciences;2.3;1,790;333,451;11.4;172 - 355;25,074
Uni Bochum;Economic Sciences;2.2;3,770;364,920;15.9;200 - 500;43,059
Jacobs Univ. Bremen (priv.);Economic Sciences;;110;565,719;6.2;198 - 288;1,325
TU Chemnitz;Economic Sciences;;1,490;246,353;4.3;157 - 260;10,482
TU Dortmund;Economic Sciences;2.3;2,960;585,813;9.3;181 - 250;33,952
TU Dresden;Economic Sciences;;1,330;547,172;7.2;107 - 370;29,728
Uni Erl.-Nürnb./Nürnberg;Economic Sciences;2.4;4,600;511,628;5.1;151 -319;9,644
Frankfurt School (priv.);Economic Sciences;1.7;150;736,414;9.8;203 - 431;2,326
Uni Frankfurt a.M.;Economic Sciences;1.8;6,100;736,414;9.8;203 - 431;47,134
Uni Gießen;Economic Sciences;2.2;3,640;86,543;46.3;165 - 444;28,575
FernUni Hagen;Economic Sciences;;19,160;188,266;38.1;181 - 250;67,983
Uni Hannover;Economic Sciences;2.4;2,700;532,864;9.3;154 - 395;28,613
Uni Hohenheim;Economic Sciences;2.1;4,200;628,032;10;235 - 600;9,253
Uni Jena;Economic Sciences;1.8;2,220;110,321;19.8;103 - 348;17,335
Uni Kassel;Economic Sciences;2.6;2,130;199,062;15.3;173 - 420;24,140
Uni Konstanz;Economic Sciences;2;1,940;83,789;19.3;228 - 420;11,078
Uni Leipzig;Economic Sciences;;940;571,088;6.8;138 - 425;28,797
Uni Mainz;Economic Sciences;1.6;3,310;213,528;18.2;258 - 412;30,315
Uni BW München;Economic Sciences;;420;1,464,301;7.5;181 - 458;3,260
Uni Oldenburg;Economic Sciences;2.4;2,330;165,711;10.5;126 - 389;15,218
Uni Osnabrück;Economic Sciences;2.7;1,540;164,070;15.6;154 - 401;14,067
Uni Paderborn;Economic Sciences;1.8;3,400;148,677;14.8;215 - 600;20,265
Uni Rostock;Economic Sciences;2.6;950;207,513;7.2;190 - 440;13,815
Uni Tübingen;Economic Sciences;1.8;1,820;88,347;30.9;167 - 393;27,318
Uni Ulm;Economic Sciences;1.9;1,150;123,953;11.8;215 - 405;10,461
Uni Würzburg;Economic Sciences;2.2;3,030;126,010;27.6;196 - 360;27,987
Uni Wuppertal;Economic Sciences;1.9;2,800;352,390;6.5;190 - 326;21,933
Zeppelin Univ./Friedrichshafen (priv.);Economic Sciences;1.2;370;59,611;3.8;228 - 420;1,020
RWTH Aachen;Political Science;;750;244,951;23.5;187 - 577;45,404
Uni Augsburg;Political Science;;830;289,584;9.2;190 - 362;20,035
Uni Bamberg;Political Science;2;800;75,743;17.1;196 - 360;12,663
FU Berlin;Political Science;2.2;1,800;3,574,830;5.3;125 - 380;36,771
HU Berlin;Political Science;2.5;1,620;3,574,830;5.3;125 - 380;34,963
Uni Bielefeld;Political Science;2.2;440;333,451;11.4;172 - 355;25,074
Uni Bochum;Political Science;;2,060;364,920;15.9;200 - 500;43,059
Uni Bonn;Political Science;2.3;1,050;322,125;12.4;172 - 633;37,515
TU Braunschweig;Political Science;;530;248,667;8.5;156 - 620;20,116
Jacobs Univ. Bremen (priv.);Political Science;1.6;120;565,719;6.2;198 - 288;1,325
Uni Bremen;Political Science;;700;565,719;6.2;198 - 288;19,224
TU Chemnitz;Political Science;;200;246,353;4.3;157 - 260;10,482
TU Darmstadt;Political Science;2;1,040;157,437;29.3;190 - 547;25,840
TU Dresden;Political Science;2.9;320;547,172;7.2;107 - 370;29,728
Uni Düsseldorf;Political Science;2.3;980;613,230;9.3;206 - 381;35,343
Uni Duisburg-Essen/Duisb.;Political Science;2.1;1,690;499,845;;238 - 450;42,910
Katholische Universität/Eichstätt;Political Science;1.7;330;13,457;30.9;;4,153
Uni Erfurt;Political Science;2.1;840;211,113;4.7;103 - 348;5,785
Uni Erl.-Nürnb./Erlangen;Political Science;2.6;500;110,238;26.3;151 -319;29,025
Europa-Uni Flensburg;Political Science;;;87,432;11;150 - 521;5,697
Uni Frankfurt a.M.;Political Science;2.2;1,760;736,414;9.8;203 - 431;47,134
Uni Freiburg;Political Science;2;370;227,590;14.4;196 - 412;24,488
Uni Gießen;Political Science;;660;86,543;46.3;165 - 444;28,575
Uni Göttingen;Political Science;2;1,650;119,177;29.9;123 - 353;30,872
Uni Greifswald;Political Science;2.2;270;57,985;17.7;164 - 540;10,246
Uni Halle-Wittenberg;Political Science;2.3;620;238,005;8.9;184 - 294;20,158
Uni Hamburg;Political Science;;940;1,810,438;6;233 - 415;42,853
Uni BW Hamburg;Political Science;;250;1,810,438;6;233 - 415;2,667
Uni Hannover;Political Science;2.9;1,400;532,864;9.3;154 - 395;28,613
Uni Heidelberg;Political Science;2.1;640;159,914;22;165 - 363;26,980
Uni Hildesheim;Political Science;;40;101,687;11.3;156 - 620;8,056
Uni Jena;Political Science;1.9;420;110,321;19.8;103 - 348;17,335
Uni Kassel;Political Science;;850;199,062;15.3;173 - 420;24,140
Uni Kiel;Political Science;2.5;930;247,441;14.1;150 - 521;26,528
Uni Kobl.-Land./Landau;Political Science;;90;46,006;18.2;155 - 300;8,367
Uni Köln;Political Science;;1,940;1,075,935;9.5;139 - 368;53,175
Uni Konstanz;Political Science;1.8;1,140;83,789;19.3;228 - 420;11,078
Uni Leipzig;Political Science;;600;571,088;6.8;138 - 425;28,797
Uni Lüneburg;Political Science;;230;74,494;13.1;156 - 620;9,900
Uni Magdeburg;Political Science;2.8;920;238,136;7.5;154 - 299;13,840
Uni Mainz;Political Science;2.2;740;213,528;18.2;258 - 412;30,315
Uni Mannheim;Political Science;2;530;304,781;9.3;190 - 410;12,012
