university;subject;overall_study_situation;total_number_of_students;population_of_the_town;proportion_of_students_in_the_town;student_accommodation_rent;students_at_this_campus
Uni Bayreuth;Biology / Bioscience;2.2;690;73,065;17.8;128 - 332;12,964
FU Berlin;Biology / Bioscience;2.4;1,090;3,574,830;5.3;125 - 380;36,771
HU Berlin;Biology / Bioscience;;1,510;3,574,830;5.3;125 - 380;34,963
Uni Bielefeld;Biology / Bioscience;;260;333,451;11.4;172 - 355;25,074
Uni Bochum;Biology / Bioscience;2.4;1,310;364,920;15.9;200 - 500;43,059
Uni Bonn;Biology / Bioscience;;1,360;322,125;12.4;172 - 633;37,515
TU Braunschweig;Biology / Bioscience;1.9;1,010;248,667;8.5;156 - 620;20,116
Jacobs Univ. Bremen (priv.);Biology / Bioscience;1.9;150;565,719;6.2;198 - 288;1,325
Uni Bremen;Biology / Bioscience;2;610;565,719;6.2;198 - 288;19,224
TU Darmstadt;Biology / Bioscience;2.1;610;157,437;29.3;190 - 547;25,840
TU Dresden;Biology / Bioscience;;860;547,172;7.2;107 - 370;29,728
Uni Düsseldorf;Biology / Bioscience;2.6;2,260;613,230;9.3;206 - 381;35,343
Uni Duisburg-Essen/Essen;Biology / Bioscience;2.3;880;583,084;;238 - 450;42,910
Uni Erl.-Nürnb./Erlangen;Biology / Bioscience;2.5;820;110,238;26.3;151 -319;29,025
Uni Frankfurt a.M.;Biology / Bioscience;2.1;1,240;736,414;9.8;203 - 431;47,134
Uni Freiburg;Biology / Bioscience;1.9;1,030;227,590;14.4;196 - 412;24,488
Uni Gießen;Biology / Bioscience;1.9;690;86,543;46.3;165 - 444;28,575
Uni Göttingen;Biology / Bioscience;2.1;2,020;119,177;29.9;123 - 353;30,872
Uni Greifswald;Biology / Bioscience;1.8;860;57,985;17.7;164 - 540;10,246
Uni Halle-Wittenberg;Biology / Bioscience;;590;238,005;8.9;184 - 294;20,158
Uni Hamburg;Biology / Bioscience;;1,410;1,810,438;6;233 - 415;42,853
MH Hannover;Biology / Bioscience;;;532,864;9.3;154 - 395;3,489
TiHo Hannover;Biology / Bioscience;;50;532,864;9.3;154 - 395;2,341
Uni Hannover;Biology / Bioscience;;900;532,864;9.3;154 - 395;28,613
Uni Heidelberg;Biology / Bioscience;2.3;1,430;159,914;22;165 - 363;26,980
Uni Hildesheim;Biology / Bioscience;;190;101,687;11.3;156 - 620;8,056
Uni Hohenheim;Biology / Bioscience;1.7;530;628,032;10;235 - 600;9,253
Uni Jena;Biology / Bioscience;2.2;1,110;110,321;19.8;103 - 348;17,335
TU Kaiserslautern;Biology / Bioscience;2.2;460;99,302;17.5;140 - 395;14,668
Karlsruher Inst. f. Technologie KIT;Biology / Bioscience;1.8;480;309,999;13.4;157 - 362;24,814
Uni Kassel;Biology / Bioscience;2.7;390;199,062;15.3;173 - 420;24,140
Uni Kiel;Biology / Bioscience;2;880;247,441;14.1;150 - 521;26,528
Uni Kobl.-Land./Landau;Biology / Bioscience;;260;46,006;18.2;155 - 300;8,367
Uni Köln;Biology / Bioscience;;2,210;1,075,935;9.5;139 - 368;53,175
Uni Konstanz;Biology / Bioscience;1.9;990;83,789;19.3;228 - 420;11,078
Uni Leipzig;Biology / Bioscience;;560;571,088;6.8;138 - 425;28,797
Uni Lübeck;Biology / Bioscience;1.9;550;216,712;4.9;150 - 521;4,604
Uni Lüneburg;Biology / Bioscience;;50;74,494;13.1;156 - 620;9,900
Uni Mainz;Biology / Bioscience;2.7;1,340;213,528;18.2;258 - 412;30,315
Uni Marburg;Biology / Bioscience;2.1;790;74,675;34.5;151 - 320;25,541
LMU München;Biology / Bioscience;2.1;1,410;1,464,301;7.5;181 - 458;50,527
TU München/Freising;Biology / Bioscience;1.9;660;47,848;18.4;181 - 458;4,779
Uni Münster;Biology / Bioscience;;1,670;311,846;19.3;174 - 606;44,755
Uni Oldenburg;Biology / Bioscience;;1,110;165,711;10.5;126 - 389;15,218
Uni Osnabrück;Biology / Bioscience;2.5;890;164,070;15.6;154 - 401;14,067
Uni Potsdam;Biology / Bioscience;;1,010;171,810;14.3;160 - 450;20,616
Uni Regensburg;Biology / Bioscience;2.5;810;148,638;21.7;164 - 461;20,792
Uni Rostock;Biology / Bioscience;;800;207,513;7.2;190 - 440;13,815
Uni des Saarlandes/Saarbrücken;Biology / Bioscience;2.1;320;179,709;17.5;206 - 301;16,441
Uni Stuttgart;Biology / Bioscience;;350;628,032;10;235 - 600;26,207
Uni Trier;Biology / Bioscience;;220;110,111;16.5;175 - 310;12,714
Uni Tübingen;Biology / Bioscience;1.9;960;88,347;30.9;167 - 393;27,318
Uni Ulm;Biology / Bioscience;2.5;980;123,953;11.8;215 - 405;10,461
Uni Vechta;Biology / Bioscience;1.7;130;32,179;17.2;154 - 401;5,333
Uni Würzburg;Biology / Bioscience;2.1;1,070;126,010;27.6;196 - 360;27,987
Uni Wuppertal;Biology / Bioscience;;10;352,390;6.5;190 - 326;21,933
RWTH Aachen;Medicine;1.5;2,610;244,951;23.5;187 - 577;45,404
FU Berlin;Medicine;;5,120;3,574,830;5.3;125 - 380;36,771
HU Berlin;Medicine;;5,120;3,574,830;5.3;125 - 380;34,963
Uni Bochum;Medicine;2.2;3,150;364,920;15.9;200 - 500;43,059
Uni Bonn;Medicine;2.3;2,590;322,125;12.4;172 - 633;37,515
MH Brandenburg/Neuruppin;Medicine;;140;31,037;0.9;;272
TU Dresden;Medicine;;2,240;547,172;7.2;107 - 370;29,728
Uni Düsseldorf;Medicine;2.6;3,300;613,230;9.3;206 - 381;35,343
Uni Duisburg-Essen/Essen;Medicine;2.3;2,110;583,084;;238 - 450;42,910
Uni Erl.-Nürnb./Erlangen;Medicine;;2,780;110,238;26.3;151 -319;29,025
Uni Frankfurt a.M.;Medicine;;3,020;736,414;9.8;203 - 431;47,134
Uni Freiburg;Medicine;;2,870;227,590;14.4;196 - 412;24,488
Uni Gießen;Medicine;;2,460;86,543;46.3;165 - 444;28,575
Uni Göttingen;Medicine;1.8;3,140;119,177;29.9;123 - 353;30,872
Uni Greifswald;Medicine;2.1;2,040;57,985;17.7;164 - 540;10,246
Uni Halle-Wittenberg;Medicine;1.9;1,770;238,005;8.9;184 - 294;20,158
Uni Hamburg;Medicine;;3,230;1,810,438;6;233 - 415;42,853
MH Hannover;Medicine;;2,570;532,864;9.3;154 - 395;3,489
Uni Heidelberg;Medicine;1.6;3,490;159,914;22;165 - 363;26,980
Uni Heidelberg - Med. Fak. Mannheim;Medicine;1.8;1,770;304,781;9.3;190 - 410;1,730
Uni Jena;Medicine;;2,090;110,321;19.8;103 - 348;17,335
Uni Kiel;Medicine;;2,010;247,441;14.1;150 - 521;26,528
Uni Köln;Medicine;;3,620;1,075,935;9.5;139 - 368;53,175
Uni Leipzig;Medicine;;2,590;571,088;6.8;138 - 425;28,797
Uni Lübeck;Medicine;1.5;1,560;216,712;4.9;150 - 521;4,604
Uni Magdeburg;Medicine;2.1;1,610;238,136;7.5;154 - 299;13,840
Uni Mainz;Medicine;2.7;3,190;213,528;18.2;258 - 412;30,315
Uni Marburg;Medicine;;2,730;74,675;34.5;151 - 320;25,541
LMU München;Medicine;1.9;5,990;1,464,301;7.5;181 - 458;50,527
TU München;Medicine;1.6;2,110;1,464,301;7.5;181 - 458;19,082
Uni Münster;Medicine;1.5;2,450;311,846;19.3;174 - 606;44,755
Uni Oldenburg;Medicine;2.5;240;165,711;10.5;126 - 389;15,218
Uni Regensburg;Medicine;2.2;1,790;148,638;21.7;164 - 461;20,792
Uni Rostock;Medicine;;1,970;207,513;7.2;190 - 440;13,815
Uni des Saarlandes/Homburg;Medicine;2.5;2,110;42,040;;206 - 301;
Uni Tübingen;Medicine;1.8;3,200;88,347;30.9;167 - 393;27,318
Uni Ulm;Medicine;2.1;2,860;123,953;11.8;215 - 405;10,461
Uni Witten/Herdecke (priv.);Medicine;1.6;730;96,781;2.5;;2,427
Uni Würzburg;Medicine;2.1;3,490;126,010;27.6;196 - 360;27,987
RWTH Aachen;Dentistry;2.3;500;244,951;23.5;187 - 577;45,404
FU Berlin;Dentistry;;680;3,574,830;5.3;125 - 380;36,771
HU Berlin;Dentistry;;680;3,574,830;5.3;125 - 380;34,963
Uni Bonn;Dentistry;;590;322,125;12.4;172 - 633;37,515
TU Dresden;Dentistry;;420;547,172;7.2;107 - 370;29,728
Uni Düsseldorf;Dentistry;;410;613,230;9.3;206 - 381;35,343
Uni Erl.-Nürnb./Erlangen;Dentistry;;670;110,238;26.3;151 -319;29,025
Uni Frankfurt a.M.;Dentistry;;860;736,414;9.8;203 - 431;47,134
Uni Freiburg;Dentistry;;560;227,590;14.4;196 - 412;24,488
Uni Gießen;Dentistry;;430;86,543;46.3;165 - 444;28,575
Uni Göttingen;Dentistry;;590;119,177;29.9;123 - 353;30,872
Uni Greifswald;Dentistry;1.4;279;57,985;17.7;164 - 540;10,246
Uni Halle-Wittenberg;Dentistry;1.8;270;238,005;8.9;184 - 294;20,158
Uni Hamburg;Dentistry;;520;1,810,438;6;233 - 415;42,853
MH Hannover;Dentistry;;550;532,864;9.3;154 - 395;3,489
Uni Heidelberg;Dentistry;3;550;159,914;22;165 - 363;26,980
Uni Jena;Dentistry;;360;110,321;19.8;103 - 348;17,335
Uni Kiel;Dentistry;;520;247,441;14.1;150 - 521;26,528
Uni Köln;Dentistry;;470;1,075,935;9.5;139 - 368;53,175
Uni Leipzig;Dentistry;;340;571,088;6.8;138 - 425;28,797
Uni Mainz;Dentistry;2.3;650;213,528;18.2;258 - 412;30,315
Uni Marburg;Dentistry;2.7;440;74,675;34.5;151 - 320;25,541
LMU München;Dentistry;;730;1,464,301;7.5;181 - 458;50,527
Uni Münster;Dentistry;3;800;311,846;19.3;174 - 606;44,755
Uni Regensburg;Dentistry;2;510;148,638;21.7;164 - 461;20,792
Uni Rostock;Dentistry;;190;207,513;7.2;190 - 440;13,815
Uni des Saarlandes/Homburg;Dentistry;;150;42,040;;206 - 301;
Uni Tübingen;Dentistry;3.1;350;88,347;30.9;167 - 393;27,318
Uni Ulm;Dentistry;;370;123,953;11.8;215 - 405;10,461
Uni Witten/Herdecke (priv.);Dentistry;2.1;310;96,781;2.5;;2,427
Uni Würzburg;Dentistry;;640;126,010;27.6;196 - 360;27,987
RWTH Aachen;Geoscience;;840;244,951;23.5;187 - 577;45,404
Uni Bayreuth;Geoscience;1.7;370;73,065;17.8;128 - 332;12,964
FU Berlin;Geoscience;2.3;620;3,574,830;5.3;125 - 380;36,771
TU Berlin;Geoscience;;;3,574,830;5.3;125 - 380;34,718
Uni Bochum;Geoscience;;680;364,920;15.9;200 - 500;43,059
Uni Bonn;Geoscience;;630;322,125;12.4;172 - 633;37,515
TU Braunschweig;Geoscience;2.2;270;248,667;8.5;156 - 620;20,116
Jacobs Univ. Bremen (priv.);Geoscience;1.3;40;565,719;6.2;198 - 288;1,325
Uni Bremen;Geoscience;;510;565,719;6.2;198 - 288;19,224
TU Clausthal;Geoscience;;150;15,523;28.5;156 - 620;4,423
BTU Cottbus-Senftenberg/Cottbus;Geoscience;;190;100,416;6.2;158 - 385;6,212
TU Darmstadt;Geoscience;;510;157,437;29.3;190 - 547;25,840
Uni Erl.-Nürnb./Erlangen;Geoscience;;400;110,238;26.3;151 -319;29,025
Uni Frankfurt a.M.;Geoscience;2.3;540;736,414;9.8;203 - 431;47,134
TU Bergakademie Freiberg;Geoscience;1.9;700;41,642;9.9;170 - 380;4,113
Uni Freiburg;Geoscience;;220;227,590;14.4;196 - 412;24,488
Uni Göttingen;Geoscience;1.8;680;119,177;29.9;123 - 353;30,872
Uni Greifswald;Geoscience;;140;57,985;17.7;164 - 540;10,246
Uni Halle-Wittenberg;Geoscience;2.1;460;238,005;8.9;184 - 294;20,158
Uni Hamburg;Geoscience;;530;1,810,438;6;233 - 415;42,853
Uni Hannover;Geoscience;2.7;390;532,864;9.3;154 - 395;28,613
Uni Heidelberg;Geoscience;;170;159,914;22;165 - 363;26,980
Uni Jena;Geoscience;1.9;140;110,321;19.8;103 - 348;17,335
Karlsruher Inst. f. Technologie KIT;Geoscience;;370;309,999;13.4;157 - 362;24,814
Uni Kiel;Geoscience;;640;247,441;14.1;150 - 521;26,528
Uni Kobl.-Land./Koblenz;Geoscience;3;;113,605;13.4;240 - 330;8,614
Uni Kobl.-Land./Landau;Geoscience;;;46,006;18.2;155 - 300;8,367
Uni Köln;Geoscience;;330;1,075,935;9.5;139 - 368;53,175
Uni Leipzig;Geoscience;;20;571,088;6.8;138 - 425;28,797
Uni Mainz;Geoscience;;420;213,528;18.2;258 - 412;30,315
LMU München;Geoscience;2;470;1,464,301;7.5;181 - 458;50,527
TU München;Geoscience;2;340;1,464,301;7.5;181 - 458;19,082
Uni Münster;Geoscience;1.9;370;311,846;19.3;174 - 606;44,755
Uni Potsdam;Geoscience;;540;171,810;14.3;160 - 450;20,616
Uni Stuttgart;Geoscience;;260;628,032;10;235 - 600;26,207
Uni Trier;Geoscience;;530;110,111;16.5;175 - 310;12,714
Uni Tübingen;Geoscience;2;760;88,347;30.9;167 - 393;27,318
RWTH Aachen;Geography;;610;244,951;23.5;187 - 577;45,404
Uni Augsburg;Geography;;1,020;289,584;9.2;190 - 362;20,035
Uni Bamberg;Geography;2.9;100;75,743;17.1;196 - 360;12,663
Uni Bayreuth;Geography;2.5;290;73,065;17.8;128 - 332;12,964
FU Berlin;Geography;2.6;710;3,574,830;5.3;125 - 380;36,771
HU Berlin;Geography;2.2;730;3,574,830;5.3;125 - 380;34,963
Uni Bochum;Geography;2;980;364,920;15.9;200 - 500;43,059
Uni Bonn;Geography;1.9;1,390;322,125;12.4;172 - 633;37,515
Uni Bremen;Geography;;300;565,719;6.2;198 - 288;19,224
TU Dresden;Geography;;620;547,172;7.2;107 - 370;29,728
Katholische Universität/Eichstätt;Geography;1.7;370;13,457;30.9;;4,153
Uni Erl.-Nürnb./Erlangen;Geography;1.7;540;110,238;26.3;151 -319;29,025
Uni Frankfurt a.M.;Geography;2.1;640;736,414;9.8;203 - 431;47,134
Uni Freiburg;Geography;;140;227,590;14.4;196 - 412;24,488
Uni Gießen;Geography;;700;86,543;46.3;165 - 444;28,575
Uni Göttingen;Geography;2.2;660;119,177;29.9;123 - 353;30,872
Uni Greifswald;Geography;;270;57,985;17.7;164 - 540;10,246
Uni Halle-Wittenberg;Geography;1.9;520;238,005;8.9;184 - 294;20,158
Uni Hamburg;Geography;;400;1,810,438;6;233 - 415;42,853
Uni Hannover;Geography;2.1;380;532,864;9.3;154 - 395;28,613
Uni Heidelberg;Geography;1.9;450;159,914;22;165 - 363;26,980
Uni Hildesheim;Geography;2.3;180;101,687;11.3;156 - 620;8,056
Uni Jena;Geography;2.5;190;110,321;19.8;103 - 348;17,335
Karlsruher Inst. f. Technologie KIT;Geography;2;210;309,999;13.4;157 - 362;24,814
Uni Kiel;Geography;2;620;247,441;14.1;150 - 521;26,528
Uni Kobl.-Land./Koblenz;Geography;;390;113,605;13.4;240 - 330;8,614
Uni Kobl.-Land./Landau;Geography;;70;46,006;18.2;155 - 300;8,367
Uni Köln;Geography;;960;1,075,935;9.5;139 - 368;53,175
Uni Leipzig;Geography;;380;571,088;6.8;138 - 425;28,797
Uni Mainz;Geography;2.4;460;213,528;18.2;258 - 412;30,315
Uni Marburg;Geography;;450;74,675;34.5;151 - 320;25,541
LMU München;Geography;;790;1,464,301;7.5;181 - 458;50,527
Uni Münster;Geography;2.2;1,190;311,846;19.3;174 - 606;44,755
Uni Osnabrück;Geography;2.2;550;164,070;15.6;154 - 401;14,067
Uni Passau;Geography;;80;51,074;24.9;164 - 461;12,742
Uni Trier;Geography;;210;110,111;16.5;175 - 310;12,714
Uni Tübingen;Geography;;330;88,347;30.9;167 - 393;27,318
Uni Vechta;Geography;;130;32,179;17.2;154 - 401;5,333
Uni Würzburg;Geography;2.4;870;126,010;27.6;196 - 360;27,987
Uni Wuppertal;Geography;;70;352,390;6.5;190 - 326;21,933
Uni Augsburg;Romance Studies;2.3;100;289,584;9.2;190 - 362;20,035
Uni Bamberg;Romance Studies;;180;75,743;17.1;196 - 360;12,663
Uni Bayreuth;Romance Studies;;20;73,065;17.8;128 - 332;12,964
FU Berlin;Romance Studies;2.2;370;3,574,830;5.3;125 - 380;36,771
HU Berlin;Romance Studies;;330;3,574,830;5.3;125 - 380;34,963
Uni Bielefeld;Romance Studies;;30;333,451;11.4;172 - 355;25,074
Uni Bochum;Romance Studies;;630;364,920;15.9;200 - 500;43,059
Uni Bonn;Romance Studies;;960;322,125;12.4;172 - 633;37,515
Uni Bremen;Romance Studies;;210;565,719;6.2;198 - 288;19,224
TU Dresden;Romance Studies;;10;547,172;7.2;107 - 370;29,728
Uni Düsseldorf;Romance Studies;;570;613,230;9.3;206 - 381;35,343
Uni Duisburg-Essen/Essen;Romance Studies;;620;583,084;;238 - 450;42,910
Katholische Universität/Eichstätt;Romance Studies;;150;13,457;30.9;;4,153
Uni Erl.-Nürnb./Erlangen;Romance Studies;2.2;220;110,238;26.3;151 -319;29,025
Europa-Uni Flensburg;Romance Studies;;20;87,432;11;150 - 521;5,697
Uni Frankfurt a.M.;Romance Studies;;400;736,414;9.8;203 - 431;47,134
Uni Freiburg;Romance Studies;;440;227,590;14.4;196 - 412;24,488
Uni Gießen;Romance Studies;;210;86,543;46.3;165 - 444;28,575
Uni Göttingen;Romance Studies;;140;119,177;29.9;123 - 353;30,872
Uni Halle-Wittenberg;Romance Studies;;90;238,005;8.9;184 - 294;20,158
Uni Hamburg;Romance Studies;;370;1,810,438;6;233 - 415;42,853
Uni Hannover;Romance Studies;;110;532,864;9.3;154 - 395;28,613
Uni Heidelberg;Romance Studies;;130;159,914;22;165 - 363;26,980
Uni Jena;Romance Studies;;80;110,321;19.8;103 - 348;17,335
Uni Kassel;Romance Studies;;170;199,062;15.3;173 - 420;24,140
Uni Kiel;Romance Studies;;210;247,441;14.1;150 - 521;26,528
Uni Kobl.-Land./Landau;Romance Studies;;10;46,006;18.2;155 - 300;8,367
Uni Köln;Romance Studies;;630;1,075,935;9.5;139 - 368;53,175
Uni Konstanz;Romance Studies;;110;83,789;19.3;228 - 420;11,078
Uni Leipzig;Romance Studies;;310;571,088;6.8;138 - 425;28,797
Uni Mainz;Romance Studies;;130;213,528;18.2;258 - 412;30,315
Uni Mannheim;Romance Studies;2.4;310;304,781;9.3;190 - 410;12,012
Uni Marburg;Romance Studies;;130;74,675;34.5;151 - 320;25,541
LMU München;Romance Studies;2;530;1,464,301;7.5;181 - 458;50,527
Uni Münster;Romance Studies;;160;311,846;19.3;174 - 606;44,755
Uni Osnabrück;Romance Studies;;270;164,070;15.6;154 - 401;14,067
Uni Paderborn;Romance Studies;;110;148,677;14.8;215 - 600;20,265
Uni Passau;Romance Studies;;10;51,074;24.9;164 - 461;12,742
Uni Potsdam;Romance Studies;;460;171,810;14.3;160 - 450;20,616
Uni Regensburg;Romance Studies;3.2;460;148,638;21.7;164 - 461;20,792
Uni Rostock;Romance Studies;;30;207,513;7.2;190 - 440;13,815
Uni des Saarlandes/Saarbrücken;Romance Studies;;420;179,709;17.5;206 - 301;16,441
Uni Siegen;Romance Studies;;130;101,863;19.8;188 - 435;19,457
Uni Stuttgart;Romance Studies;;80;628,032;10;235 - 600;26,207
Uni Trier;Romance Studies;;50;110,111;16.5;175 - 310;12,714
Uni Tübingen;Romance Studies;;130;88,347;30.9;167 - 393;27,318
Uni Würzburg;Romance Studies;;180;126,010;27.6;196 - 360;27,987
Uni Wuppertal;Romance Studies;;40;352,390;6.5;190 - 326;21,933
Uni Bayreuth;Sports Sciences;1.6;730;73,065;17.8;128 - 332;12,964
HU Berlin;Sports Sciences;4.3;390;3,574,830;5.3;125 - 380;34,963
Uni Bielefeld;Sports Sciences;;350;333,451;11.4;172 - 355;25,074
Uni Bochum;Sports Sciences;1.8;880;364,920;15.9;200 - 500;43,059
TU Chemnitz;Sports Sciences;;370;246,353;4.3;157 - 260;10,482
TU Darmstadt;Sports Sciences;;390;157,437;29.3;190 - 547;25,840
Uni Erl.-Nürnb./Erlangen;Sports Sciences;;100;110,238;26.3;151 -319;29,025
Uni Frankfurt a.M.;Sports Sciences;2.7;520;736,414;9.8;203 - 431;47,134
Uni Freiburg;Sports Sciences;1.5;190;227,590;14.4;196 - 412;24,488
Uni Gießen;Sports Sciences;2.4;520;86,543;46.3;165 - 444;28,575
Uni Göttingen;Sports Sciences;;580;119,177;29.9;123 - 353;30,872
Uni Halle-Wittenberg;Sports Sciences;;180;238,005;8.9;184 - 294;20,158
Uni Hamburg;Sports Sciences;;330;1,810,438;6;233 - 415;42,853
Uni Hannover;Sports Sciences;2.2;0;532,864;9.3;154 - 395;28,613
Uni Heidelberg;Sports Sciences;1.8;180;159,914;22;165 - 363;26,980
Uni Hildesheim;Sports Sciences;;160;101,687;11.3;156 - 620;8,056
Uni Jena;Sports Sciences;2.4;330;110,321;19.8;103 - 348;17,335
Karlsruher Inst. f. Technologie KIT;Sports Sciences;2.2;370;309,999;13.4;157 - 362;24,814
Uni Kiel;Sports Sciences;;220;247,441;14.1;150 - 521;26,528
Uni Kobl.-Land./Landau;Sports Sciences;;160;46,006;18.2;155 - 300;8,367
Deutsche Sporthochschule Köln;Sports Sciences;2.2;5,540;1,075,935;9.5;139 - 368;5,838
Uni Konstanz;Sports Sciences;3.8;290;83,789;19.3;228 - 420;11,078
Uni Leipzig;Sports Sciences;;1,200;571,088;6.8;138 - 425;28,797
Uni Magdeburg;Sports Sciences;;460;238,136;7.5;154 - 299;13,840
Uni Mainz;Sports Sciences;2.1;540;213,528;18.2;258 - 412;30,315
Uni Marburg;Sports Sciences;;510;74,675;34.5;151 - 320;25,541
TU München;Sports Sciences;2.3;1,700;1,464,301;7.5;181 - 458;19,082
Uni BW München;Sports Sciences;;160;1,464,301;7.5;181 - 458;3,260
Uni Münster;Sports Sciences;2.3;150;311,846;19.3;174 - 606;44,755
Uni Oldenburg;Sports Sciences;;670;165,711;10.5;126 - 389;15,218
Uni Paderborn;Sports Sciences;2.2;460;148,677;14.8;215 - 600;20,265
Uni Potsdam;Sports Sciences;;540;171,810;14.3;160 - 450;20,616
Uni Regensburg;Sports Sciences;;460;148,638;21.7;164 - 461;20,792
Uni Rostock;Sports Sciences;;0;207,513;7.2;190 - 440;13,815
Uni des Saarlandes/Saarbrücken;Sports Sciences;2.7;320;179,709;17.5;206 - 301;16,441
Uni Stuttgart;Sports Sciences;;330;628,032;10;235 - 600;26,207
Uni Tübingen;Sports Sciences;1.7;470;88,347;30.9;167 - 393;27,318
Uni Würzburg;Sports Sciences;;250;126,010;27.6;196 - 360;27,987
Uni Wuppertal;Sports Sciences;;100;352,390;6.5;190 - 326;21,933
